Compare Type," ""Source Offset"""," ""Source Count (dec)"""," ""Source Count (hex)"""," ""Target Offset"""," ""Target Count (dec)"""," ""Target Count (hex)"""
Matched, 0006FD82,72,48, 0006FDCF,72,48
Replaced, 0006FDCA,11, 0B, 0006FE17,11, 0B
Matched, 0006FDD5,165, A5, 0006FE22,165, A5
Replaced, 0006FE7A,537,219, 0006FEC7,537,219
Matched,70093,75, 4B,7.00E+02,75, 4B
Replaced, 000700DE,28, 1C, 0007012B,28, 1C
Matched, 000700FA,74, 4A,70147,74, 4A
Replaced,70144,1,1,70191,1,1
Matched,70145,53,35,70192,53,35
Replaced, 0007017A,43, 2B, 000701C7,43, 2B
Matched, 000701A5,32,20, 000701F2,32,20
Replaced, 000701C5,157, 9D,70212,157, 9D
Matched,70262,53,35, 000702AF,53,35
Replaced,70297,45, 2D,7.02E+06,45, 2D
Matched, 000702C4,54,36,70311,54,36
Replaced, 000702FA,9,9,70347,9,9
Matched,70303,87,57,70350,87,57
Replaced, 0007035A,81,51, 000703A7,81,51
Matched, 000703AB,365, 016D, 000703F8,365, 016D
Replaced,70518,1,1,70565,1,1
Matched,70519,45, 2D,70566,45, 2D
Replaced,70546,56,38,70593,56,38
Matched, 0007057E,179, B3, 000705CB,179, B3
Replaced,70631,26, 1A, 0007067E,26, 1A
Matched, 0007064B,178, B2,70698,178, B2
Replaced, 000706FD,27, 1B, 0007074A,27, 1B
Matched,70718,46, 2E,70765,46, 2E
Replaced,70746,2,2,70793,2,2
Matched,70748,46, 2E,70795,46, 2E
Replaced,70776,2,2, 000707C3,2,2
Matched,70778,325,145, 000707C5,325,145
Replaced, 000708BD,26, 1A, 0007090A,26, 1A
Matched, 000708D7,71,47,70924,71,47
Replaced, 0007091E,1,1, 0007096B,1,1
Matched, 0007091F,34,22, 0007096C,34,22
Replaced,70941,74, 4A, 0007098E,74, 4A
Matched, 0007098B,126, 7E, 000709D8,126, 7E
Replaced, 00070A09,1,1, 00070A56,1,1
Matched, 00070A0A,66,42, 00070A57,66,42
Replaced, 00070A4C,32,20, 00070A99,32,20
Matched, 00070A6C,42, 2A, 00070AB9,42, 2A
Replaced, 00070A96,44, 2C, 00070AE3,44, 2C
Matched, 00070AC2,32,20, 00070B0F,32,20
Replaced, 00070AE2,63, 3F, 00070B2F,63, 3F
Matched, 00070B21,89,59, 00070B6E,89,59
Replaced, 00070B7A,165, A5, 00070BC7,165, A5
Matched, 00070C1F,108, 6C, 00070C6C,108, 6C
Replaced, 00070C8B,30, 1E, 00070CD8,30, 1E
Matched, 00070CA9,60, 3C, 00070CF6,60, 3C
Replaced, 00070CE5,118,76, 00070D32,118,76
Matched, 00070D5B,146,92, 00070DA8,146,92
Replaced, 00070DED,67,43, 00070E3A,67,43
Matched,7.00E+31,79, 4F, 00070E7D,79, 4F
Replaced, 00070E7F,1,1, 00070ECC,1,1
Matched,7.00E+81,44, 2C, 00070ECD,44, 2C
Replaced, 00070EAC,21,15, 00070EF9,21,15
Matched, 00070EC1,146,92, 00070F0E,146,92
